tierId,tier,displayNameKey,price,unlockCost,scratchAreas,ruleModifier,symbolId,probability,payoutMultiplier
tier1_convenience,1,lottery.tier1.name,10,0,1,,blank,0.55,0
tier1_convenience,1,lottery.tier1.name,10,0,1,,cherry,0.30,2
tier1_convenience,1,lottery.tier1.name,10,0,1,,clover,0.10,4
tier1_convenience,1,lottery.tier1.name,10,0,1,,seven,0.045,4
tier1_convenience,1,lottery.tier1.name,10,0,1,,jackpot,0.005,20
tier2_animal,2,lottery.tier2.name,100,250,1,match3,blank,0.60,0
tier2_animal,2,lottery.tier2.name,100,250,1,match3,rabbit,0.25,2
tier2_animal,2,lottery.tier2.name,100,250,1,match3,fox,0.10,3.5
tier2_animal,2,lottery.tier2.name,100,250,1,match3,tiger,0.045,6
tier2_animal,2,lottery.tier2.name,100,250,1,match3,dragon,0.005,30
tier3_treasure,3,lottery.tier3.name,1000,3500,3,multi_area,blank,0.62,0
tier3_treasure,3,lottery.tier3.name,1000,3500,3,multi_area,coin,0.22,2
tier3_treasure,3,lottery.tier3.name,1000,3500,3,multi_area,gem,0.10,3.5
tier3_treasure,3,lottery.tier3.name,1000,3500,3,multi_area,chest,0.055,5
tier3_treasure,3,lottery.tier3.name,1000,3500,3,multi_area,goldmap,0.005,25
tier4_casino,4,lottery.tier4.name,50000,250000,1,multiplier,blank,0.65,0
tier4_casino,4,lottery.tier4.name,50000,250000,1,multiplier,chip,0.20,2.2
tier4_casino,4,lottery.tier4.name,50000,250000,1,multiplier,dice,0.09,4
tier4_casino,4,lottery.tier4.name,50000,250000,1,multiplier,crown,0.055,5
tier4_casino,4,lottery.tier4.name,50000,250000,1,multiplier,royal,0.005,16
tier5_space,5,lottery.tier5.name,5000000,25000000,1,chain,blank,0.68,0
tier5_space,5,lottery.tier5.name,5000000,25000000,1,chain,star,0.18,2.5
tier5_space,5,lottery.tier5.name,5000000,25000000,1,chain,planet,0.08,4
tier5_space,5,lottery.tier5.name,5000000,25000000,1,chain,comet,0.054,5
tier5_space,5,lottery.tier5.name,5000000,25000000,1,chain,galaxy,0.006,18
