seconds,minutes,gold,gps,event
0,0.0,103,0.00,
60,1.0,131,0.00,
120,2.0,159,0.00,
180,3.0,187,0.00,
240,4.0,215,0.00,
300,5.0,243,0.00,
319,5.3,101,2.00,AUTO auto_parttimer Lv1
360,6.0,203,2.00,
401,6.7,52,2.00,UNLOCK tier2_animal
420,7.0,101,2.00,
480,8.0,491,2.00,
540,9.0,881,2.00,
600,10.0,1271,2.00,
660,11.0,1661,2.00,
720,12.0,2051,2.00,
780,13.0,2441,2.00,
793,13.2,1521,2.20,UPGRADE up_goldmult Lv1
840,14.0,1942,2.20,
900,15.0,2471,2.20,
960,16.0,3000,2.20,
1020,17.0,3529,2.20,
1080,18.0,4058,2.20,
1099,18.3,719,2.20,UNLOCK tier3_treasure
1140,19.0,1356,2.20,
1200,20.0,4578,2.20,
1201,20.0,2830,2.40,UPGRADE up_goldmult Lv2
1260,21.0,7252,2.40,
1267,21.1,4634,2.60,UPGRADE up_goldmult Lv3
1320,22.0,9695,2.60,
1363,22.7,5636,132.60,AUTO auto_robot Lv1
1380,23.0,9531,132.60,
1399,23.3,8332,142.80,UPGRADE up_goldmult Lv4
1440,24.0,18849,142.80,
1459,24.3,14181,153.00,UPGRADE up_goldmult Lv5
1500,25.0,25949,153.00,
1555,25.9,25016,163.20,UPGRADE up_goldmult Lv6
1560,26.0,26736,163.20,
1620,27.0,45568,163.20,
1680,28.0,64400,163.20,
1705,28.4,43373,173.40,UPGRADE up_goldmult Lv7
1740,29.0,55580,173.40,
1800,30.0,76214,173.40,
1860,31.0,96848,173.40,
1920,32.0,117482,173.40,
1945,32.4,75644,183.60,UPGRADE up_goldmult Lv8
1980,33.0,88922,183.60,
2040,34.0,111358,183.60,
2100,35.0,133794,183.60,
2160,36.0,156230,183.60,
2220,37.0,178666,183.60,
2280,38.0,201102,183.60,
2333,38.9,132005,193.80,UPGRADE up_goldmult Lv9
2340,39.0,135884,193.80,
2400,40.0,160122,193.80,
2460,41.0,184360,193.80,
2520,42.0,208598,193.80,
2580,43.0,232836,193.80,
2640,44.0,257074,193.80,
2700,45.0,281312,193.80,
2749,45.8,50896,193.80,UNLOCK tier4_casino
2760,46.0,172478,193.80,
2779,46.3,155335,4943.80,AUTO auto_laser Lv1
2780,46.3,160106,4947.60,AUTO auto_parttimer Lv2
2781,46.4,155854,5137.60,AUTO auto_robot Lv2
2797,46.6,187230,9887.60,AUTO auto_laser Lv2
2798,46.6,196920,9891.40,AUTO auto_parttimer Lv3
2799,46.7,196231,10081.40,AUTO auto_robot Lv3
2809,46.8,262558,10612.00,UPGRADE up_goldmult Lv10
2820,47.0,180290,15612.00,AUTO auto_laser Lv3
2820,47.0,245790,15612.00,
2821,47.0,261174,15616.00,AUTO auto_parttimer Lv4
2822,47.0,264623,15816.00,AUTO auto_robot Lv4
2833,47.2,265424,20816.00,AUTO auto_laser Lv4
2834,47.2,285978,20820.00,AUTO auto_parttimer Lv5
2835,47.3,292806,21020.00,AUTO auto_robot Lv5
2845,47.4,284204,26020.00,AUTO auto_laser Lv5
2846,47.4,309923,26024.00,AUTO auto_parttimer Lv6
2857,47.6,324915,31024.00,AUTO auto_laser Lv6
2858,47.6,339849,31224.00,AUTO auto_robot Lv6
2859,47.7,370726,31228.00,AUTO auto_parttimer Lv7
2867,47.8,416660,32789.40,UPGRADE up_goldmult Lv11
2875,47.9,358913,38039.40,AUTO auto_laser Lv7
2876,47.9,378448,38249.40,AUTO auto_robot Lv7
2877,48.0,416299,38253.60,AUTO auto_parttimer Lv8
2878,48.0,433272,38463.60,AUTO auto_robot Lv8
2880,48.0,581474,38463.60,
2887,48.1,389991,43713.60,AUTO auto_laser Lv8
2888,48.1,433245,43717.80,AUTO auto_parttimer Lv9
2889,48.2,452491,43927.80,AUTO auto_robot Lv9
2899,48.3,422514,49177.80,AUTO auto_laser Lv9
2900,48.3,471165,49182.00,AUTO auto_parttimer Lv10
2901,48.4,492204,49392.00,AUTO auto_robot Lv10
2912,48.5,474490,54642.00,AUTO auto_laser Lv10
2913,48.6,528526,54646.20,AUTO auto_parttimer Lv11
2914,48.6,550807,54856.20,AUTO auto_robot Lv11
2923,48.7,715632,57468.40,UPGRADE up_goldmult Lv12
2933,48.9,558254,62968.40,AUTO auto_laser Lv11
2934,48.9,620525,62972.80,AUTO auto_parttimer Lv12
2935,48.9,723329,63192.80,AUTO auto_robot Lv12
2940,49.0,1116343,63192.80,
2947,49.1,705264,68692.80,AUTO auto_laser Lv12
2948,49.1,773154,68697.20,AUTO auto_parttimer Lv13
2949,49.2,799050,68917.20,AUTO auto_robot Lv13
2962,49.4,779024,74417.20,AUTO auto_laser Lv13
2963,49.4,852518,74421.60,AUTO auto_parttimer Lv14
2964,49.4,877717,74641.60,AUTO auto_robot Lv14
2977,49.6,848651,80141.60,AUTO auto_laser Lv14
2978,49.6,927731,80146.00,AUTO auto_parttimer Lv15
2979,49.7,951271,80366.00,AUTO auto_robot Lv15
2991,49.9,1244758,84019.00,UPGRADE up_goldmult Lv13
3000,50.0,2166579,84019.00,
3003,50.1,1003496,89769.00,AUTO auto_laser Lv15
